index,axis-0,axis-1,axis-2
0,3.0,1036.6085931956768,1374.287858337164
1,3.0,1036.3475514650345,1161.474317908287
2,3.0,1036.1237947493792,1151.1536161750555
3,3.0,1035.210651293397,1042.9669982753694
4,3.0,1032.5434288084507,1066.5964247882366
5,3.0,1030.885719306767,1198.1678945869207
6,3.0,1029.2913053035736,1171.4670139551163
7,3.0,1028.2301297783852,1193.4917306602001
8,3.0,1027.9402639307082,1052.7548976689577
9,3.0,1026.897397659719,1156.8869323581457
10,3.0,1027.0166491698474,1145.0935031473637
11,3.0,1026.365755110979,1187.500735759735
12,3.0,1026.5323439240456,1052.6017698943615
13,3.0,1022.6448077857494,1188.7515293210745
14,3.0,1023.3578361868858,1101.2105448395014
15,3.0,1021.3788237571716,1195.4295998215675
16,3.0,1019.6276524662971,1197.5212469100952
17,3.0,1018.1960038542747,1143.3748182058334
18,3.0,1017.0855031535029,140.07955949753523
19,3.0,1015.8734017014503,1053.8761761710048
20,3.0,1012.5175447762012,1194.265612602234
21,3.0,1012.3367699384689,1179.7933904081583
22,3.0,1010.8279067575932,509.8873103186488
23,3.0,1010.7394914329052,472.4870446920395
24,3.0,1009.7708917409182,1058.8512854874134
25,3.0,1008.1424171030521,288.26676574349403
26,3.0,1006.2666620314121,1182.7860853523016
27,3.0,1006.2630226016045,154.18944646418095
28,3.0,1003.2166429311037,288.66309028863907
29,3.0,1001.5471866428852,1161.7203132808208
30,3.0,997.7940676659346,1169.69388666749
31,3.0,997.6766241788864,1100.7293500602245
32,3.0,996.5593282580376,1115.506341934204
33,3.0,997.3776847422123,1097.6357968747616
34,3.0,995.5061035454273,1361.4987874627113
35,3.0,994.7175592184067,1352.5197049379349
36,3.0,992.0381010994315,119.0913645774126
37,3.0,991.1034020259976,231.62824311852455
38,3.0,987.8090043962002,1347.1074052006006
39,3.0,987.3577207922935,1117.5724817216396
40,3.0,985.2494967728853,1353.4817975461483
41,3.0,984.2134118378162,256.1876461356878
42,3.0,967.3407613039017,22.700666546821594
43,3.0,966.446207344532,270.28131410479546
44,3.0,964.6211729645729,291.51161125302315
45,3.0,959.1979752480984,17.24988755583763
46,3.0,957.3867421448231,499.6541128754616
47,3.0,955.5274987816811,14.395021378993988
48,3.0,954.4317420721054,564.3626647591591
49,3.0,954.4848553836346,294.66522112488747
50,3.0,942.6488649845123,583.0276143662632
51,3.0,942.089581169188,1063.0006368008326
52,3.0,942.3883935809135,1032.2507291734219
53,3.0,938.1083490252495,1031.7666413933039
54,3.0,937.2988484799862,238.5237828195095
55,3.0,937.0797078832984,208.11745142191648
56,3.0,936.3570536077023,187.10834965109825
57,3.0,932.5573761761189,1002.4885312914848
58,3.0,933.4885037839413,302.3059875667095
59,3.0,932.3887078166008,980.7840511202812
60,3.0,931.6721608638763,172.8508437871933
61,3.0,929.505854010582,1021.2944228649139
62,3.0,926.5532640218735,1279.4499665498734
63,3.0,925.5315116941929,1014.3905517756939
64,3.0,925.6079623103142,569.4875733554363
65,3.0,924.5590374469757,1040.6983606815338
66,3.0,924.2212707996368,974.4044479131699
67,3.0,921.6583706140518,1301.495304107666
68,3.0,921.829322874546,952.7924627065659
69,3.0,913.6938378214836,536.7015647888184
70,3.0,912.9568385183811,1284.9586753882468
71,3.0,913.2025988996029,192.67495864629745
72,3.0,910.8382845818996,1302.5013016462326
73,3.0,910.1655553132296,53.48581299185753
74,3.0,904.025602394715,571.8094963729382
75,3.0,899.5720248818398,1120.329756051302
76,3.0,894.7886012941599,1384.1985730826855
77,3.0,895.4134110510349,979.4403927326202
78,3.0,894.4123478531837,1361.3265416622162
79,3.0,894.3540761470795,641.6330836713314
80,3.0,892.1066932082176,1115.065235428512
81,3.0,890.6509470939636,1123.565077841282
82,3.0,888.6447316706181,1003.0186664853245
83,3.0,887.902725212276,1018.9502995349467
84,3.0,887.2122882008553,1127.6113512814045
85,3.0,887.1800816208124,1119.6291904747486
86,3.0,886.9825166985393,1002.9997096996813
87,3.0,884.90111130476,1265.017565343529
88,3.0,884.6667767763138,75.53346535563469
89,3.0,883.82130394876,943.2710387706757
90,3.0,883.3683227598667,1020.6467613577843
91,3.0,883.0548020116985,1016.3385609686375
92,3.0,881.3789021968842,1086.4833737015724
93,3.0,881.2886888682842,1039.411865502596
94,3.0,881.2161315232515,1035.557532519102
95,3.0,880.3860125243664,972.4755024313927
96,3.0,880.3299324512482,112.3511980175972
97,3.0,878.6134890019894,1059.4921656250954
98,3.0,877.3406339585781,1065.417843669653
99,3.0,876.5824927389622,1050.5359885692596
100,3.0,875.0228520389646,1100.1413664072752
101,3.0,874.5376456975937,1066.3340973854065
102,3.0,874.1819197237492,1078.2958170473576
103,3.0,873.4447091817856,1055.3785655796528
104,3.0,871.8778734132648,1260.8314285427332
105,3.0,871.6445674300194,1101.1548035740852
106,3.0,869.7187696099281,953.3512094318867
107,3.0,868.6367115676403,1022.5735481381416
108,3.0,869.3271709084511,557.1256335675716
109,3.0,865.5950860083103,1381.6279883086681
110,3.0,864.3262367248535,1159.206097573042
111,3.0,863.8979601338506,951.0988022983074
112,3.0,860.2597554028034,1160.693130403757
113,3.0,859.1623831540346,1150.8075707107782
114,3.0,856.4487682580948,1102.6912408471107
115,3.0,855.2670987546444,1149.3587440252304
116,3.0,851.6901622712612,21.720943987369537
117,3.0,850.7815982103348,1073.7514853179455
118,3.0,851.1633087396622,60.350987911224365
119,3.0,849.4353767633438,1147.4742773473263
120,3.0,847.3882819116116,26.415798634290695
121,3.0,844.3203030824661,1179.2550150752068
122,3.0,839.5061068534851,1137.5613610744476
123,3.0,837.4223559498787,65.0172299221158
124,3.0,835.7728428691626,1358.241097703576
125,3.0,836.2443309128284,1094.3990249335766
126,3.0,834.4133829176426,1377.505416661501
127,3.0,832.6931726336479,107.81171552836895
128,3.0,829.5320336222649,1075.5312472581863
129,3.0,823.6035304963589,1372.5302332043648
130,3.0,822.4550515711308,1153.3660547435284
131,3.0,806.6685247123241,419.6545319259167
132,3.0,805.2063143849373,1147.205337062478
133,3.0,804.5740283131599,555.5698728263378
134,3.0,804.3189347684383,1132.3372752666473
135,3.0,803.212109208107,559.5627364814281
136,3.0,796.2225964218378,575.2184937298298
137,3.0,793.3889230191708,599.784098982811
138,3.0,791.7394464015961,440.2840670347214
139,3.0,791.2476191818714,1118.3024652898312
140,3.0,789.2035569548607,538.7256739735603
141,3.0,787.7583127170801,1124.7109545767307
142,3.0,787.6081128120422,8.08199479430914
143,3.0,785.9798346217722,536.0829699337482
144,3.0,785.5785153210163,449.50783026218414
145,3.0,781.5299767255783,1280.3012462556362
146,3.0,778.7027965784073,536.6903987824917
147,3.0,771.5675948858261,593.5250005722046
148,3.0,771.6600598990917,577.5120289325714
149,3.0,771.6180945634842,379.6181228160858
150,3.0,770.881634183228,602.9430015720427
151,3.0,769.2408213615417,1320.4374720454216
152,3.0,766.0824538841844,596.6824894845486
153,3.0,766.441313534975,527.2540928423405
154,3.0,764.79994186759,1354.5739354491234
155,3.0,756.3981896042824,551.4052576422691
156,3.0,751.5411390662193,577.6547887921333
157,3.0,743.2306488901377,1380.6183787584305
158,3.0,741.6121360659599,297.5035223662853
159,3.0,740.87839217484,278.81325989961624
160,3.0,739.8884906470776,5.006422379054129
161,3.0,738.6232731938362,1308.327571362257
162,3.0,738.8443887233734,594.7000534832478
163,3.0,737.1077719181776,1197.568025380373
164,3.0,734.5961600840092,298.21687676012516
165,3.0,734.1986071616411,271.54134207963943
166,3.0,734.3386912345886,10.387021601200104
167,3.0,730.3502894937992,597.5907142162323
168,3.0,728.7459226846695,1294.7270040214062
169,3.0,728.7392196059227,1215.3089190125465
170,3.0,729.3807144761086,594.4437397122383
171,3.0,727.5123323202133,604.9216244891286
172,3.0,725.340233027935,870.5665667057037
173,3.0,723.4765255749226,236.46719765663147
174,3.0,723.471320182085,15.764678850769997
175,3.0,721.0557764172554,601.6507388055325
176,3.0,717.8340786248446,874.3363963961601
177,3.0,715.9171139895916,1265.9944552686065
178,3.0,715.4678302407265,645.4118936359882
179,3.0,712.5025864541531,1263.7671605795622
180,3.0,712.5729568898678,1258.2471413314342
181,3.0,712.644702911377,1223.583936035633
182,3.0,712.4051395952702,1269.6443564295769
183,3.0,708.733200699091,1207.6669079363346
184,3.0,709.19134375453,879.3201026320457
185,3.0,706.6916790604591,1223.0324120931327
186,3.0,707.3092738091946,301.57375901937485
187,3.0,705.3608914613724,1278.460276812315
188,3.0,701.6862075030804,1251.5913402438164
189,3.0,701.4728576242924,1240.6922686696053
190,3.0,701.2975370287895,1214.2529444098473
191,3.0,700.6906488239765,855.7429128587246
192,3.0,697.7419712841511,863.6338582932949
193,3.0,695.2421278208494,905.6151122152805
194,3.0,694.6272747814655,643.4682443737984
195,3.0,692.607502758503,858.8317639231682
196,3.0,692.1711923629045,855.150021225214
197,3.0,692.4774013161659,639.3916494548321
198,3.0,690.8449070751667,1267.6502787172794
199,3.0,690.6231517493725,1264.3368430435658
200,3.0,690.5600585341454,1195.2976657152176
201,3.0,687.4718701839447,1203.4461571276188
202,3.0,688.4467812478542,848.4291068315506
203,3.0,682.6727538406849,668.6936345100403
204,3.0,680.4780729413033,847.413113951683
205,3.0,680.5595398545265,665.6558013260365
206,3.0,680.3506507277489,1267.5881676077843
207,3.0,677.2221199423075,922.6285240352154
208,3.0,676.641459017992,919.9856486609206
