channel,y,x
1,350,1333
1,370,1186
1,356,1353
1,376,1276
1,369,1204
1,376,1360
1,397,265
1,442,596
1,372,638
1,419,632
1,388,622
1,429,560
1,446,597
1,370,650
1,407,544
1,379,585
1,425,576
1,344,619
1,436,573
1,399,564
1,414,555
1,374,348
1,369,366
1,419,362
1,419,327
1,357,368
1,375,404
1,419,345
1,382,414
1,387,327
1,373,348
1,371,347
1,361,341
1,364,341
1,423,343
1,382,412
1,379,362
1,376,416
1,377,407
1,371,406
1,419,337
1,436,372
1,377,401
1,382,332
1,386,391
1,365,379
1,391,369
1,391,360
1,366,378
1,378,396
1,361,376
1,399,372
1,369,546
1,416,502
1,429,748
1,424,745
1,511,621
1,613,708
1,467,779
1,674,740
1,478,638
1,522,804
1,606,706
1,623,694
1,502,713
1,482,794
1,692,639
1,501,712
1,550,625
1,509,640
1,603,678
1,642,729
1,641,693
1,516,814
1,480,776
1,564,780
1,464,794
1,474,652
1,581,772
1,513,676
1,576,777
1,548,768
1,682,668
1,636,708
1,554,738
1,500,703
1,646,777
1,557,778
1,456,723
1,479,765
1,486,707
1,454,756
1,472,718
1,649,723
1,633,710
1,584,767
1,608,764
1,558,739
1,528,765
1,449,737
1,590,769
1,634,626
1,694,643
1,595,629
1,463,782
1,635,670
1,594,647
1,506,619
1,628,695
1,613,783
1,558,624
1,483,673
1,586,718
1,611,613
1,613,771
1,496,795
1,588,633
1,610,635
1,680,665
1,661,632
1,432,731
1,677,605
1,472,666
1,604,724
1,407,754
1,557,780
1,445,655
1,490,785
1,377,761
1,600,770
1,506,790
1,435,754
1,652,791
1,623,639
1,397,760
1,715,645
1,592,695
1,577,720
1,484,635
1,614,615
1,656,611
1,604,748
1,484,713
1,600,728
1,548,777
1,625,648
1,590,726
1,521,778
1,614,608
1,622,689
1,573,780
1,636,759
1,440,721
1,448,652
1,499,717
1,605,625
1,549,653
1,613,688
1,651,733
1,427,706
1,460,716
1,475,650
1,581,647
1,471,639
1,665,733
1,452,740
1,491,683
1,523,648
1,537,789
1,428,824
1,595,767
1,492,654
1,650,766
1,626,610
1,401,714
1,493,800
1,552,772
1,617,650
1,617,683
1,650,720
1,656,731
1,464,744
1,420,705
1,531,740
1,493,767
1,578,644
1,581,747
1,562,761
1,612,717
1,589,761
1,485,645
1,670,666
1,503,612
1,505,752
1,491,636
1,589,623
1,494,740
1,479,692
1,558,630
1,550,830
1,488,694
1,661,656
1,422,732
1,486,759
1,467,647
1,639,748
1,468,752
1,552,795
1,619,611
1,598,743
1,409,972
1,403,960
1,403,976
1,417,951
1,429,1001
1,430,1013
1,436,1019
1,401,950
1,424,1020
1,402,1037
1,413,1242
1,518,1206
1,387,1256
1,514,1203
1,502,1210
1,407,1259
1,495,1213
1,488,1217
1,486,1217
1,417,1227
1,385,1260
1,417,1233
1,425,1208
1,472,1381
1,413,1316
1,481,1325
1,449,1292
1,460,1292
1,479,1369
1,468,1349
1,430,1306
1,430,1312
1,458,1341
1,406,1301
1,402,1315
1,482,504
1,477,504
1,416,483
1,417,487
1,465,1096
1,471,1087
1,491,1138
1,467,1162
1,478,254
1,502,292
1,478,340
1,474,347
1,454,288
1,454,304
1,448,358
1,492,258
1,461,336
1,534,268
1,490,265
1,454,285
1,557,270
1,553,259
1,551,261
1,521,297
1,462,345
1,452,231
1,505,290
1,569,280
1,529,280
1,446,235
1,509,321
1,504,315
1,442,342
1,519,297
1,521,1270
1,524,1302
1,504,468
1,500,467
1,489,455
1,535,468
1,496,456
1,531,315
1,558,306
1,532,314
1,525,342
1,510,348
1,543,386
1,536,308
1,565,283
1,556,291
1,547,300
1,555,299
1,541,337
1,538,319
1,543,430
1,504,348
1,537,395
1,556,287
1,534,309
1,546,347
1,545,319
1,554,280
1,550,352
1,537,344
1,538,339
1,569,283
1,545,288
1,540,297
1,498,394
1,553,309
1,553,295
1,519,335
1,505,353
1,545,320
1,537,394
1,535,311
1,529,422
1,498,384
1,522,332
1,527,309
1,544,388
1,520,317
1,530,396
1,518,342
1,544,365
1,547,1207
1,508,1196
1,584,1231
1,529,1247
1,544,1243
1,602,1176
1,540,1229
1,505,1190
1,533,1198
1,492,1176
1,566,1189
1,528,1179
1,542,1197
1,506,1184
1,554,1196
1,522,1187
1,551,1207
1,551,1199
1,555,1202
1,541,1190
1,627,555
1,585,589
1,616,569
1,596,537
1,516,556
1,636,553
1,523,583
1,528,551
1,531,581
1,517,552
1,526,564
1,513,569
1,654,559
1,580,1340
1,561,1341
1,569,1346
1,575,1340
1,632,1335
1,551,1363
1,545,62
1,527,28
1,525,9
1,589,1301
1,560,1309
1,551,1319
1,575,1302
1,572,1301
1,554,1309
1,601,1315
1,553,1328
1,578,1309
1,592,1258
1,568,1317
1,554,1274
1,583,1317
1,554,1253
1,573,1305
1,590,1253
1,562,352
1,619,379
1,581,389
1,577,380
1,603,397
1,563,361
1,571,355
1,616,343
1,622,345
1,580,362
1,607,384
1,573,403
1,599,396
1,564,344
1,629,894
1,592,925
1,638,850
1,644,827
1,680,847
1,671,837
1,623,835
1,634,850
1,631,841
1,676,919
1,642,834
1,586,938
1,621,835
1,692,855
1,647,917
1,614,927
1,624,848
1,628,891
1,657,915
1,635,869
1,672,914
1,697,863
1,709,879
1,621,934
1,636,883
1,618,873
1,621,876
1,692,858
1,577,943
1,624,903
1,657,829
