channel,y,x
0,14,672
0,31,700
0,64,672
0,2,686
0,1,678
0,57,683
0,66,700
0,27,617
0,32,619
0,4,643
0,34,629
0,90,699
0,10,673
0,36,693
0,57,668
0,35,649
0,28,690
0,18,715
0,80,692
0,47,685
0,61,674
0,14,680
0,19,664
0,12,701
0,33,618
0,45,663
0,71,684
0,37,686
0,119,984
0,72,990
0,122,950
0,114,912
0,92,960
0,88,1007
0,70,961
0,88,1008
0,77,965
0,80,1009
0,100,949
0,123,920
0,96,1012
0,110,935
0,68,988
0,72,991
0,98,943
0,84,955
0,117,982
0,125,939
0,101,979
0,89,971
0,134,942
0,73,91
0,82,138
0,75,126
0,90,122
0,84,152
0,61,75
0,88,137
0,88,146
0,71,72
0,48,70
0,76,77
0,98,146
0,84,125
0,37,23
0,88,109
0,65,88
0,58,71
0,24,35
0,80,148
0,32,83
0,31,100
0,79,110
0,45,48
0,86,109
0,46,91
0,36,61
0,47,122
0,77,108
0,45,64
0,58,91
0,34,15
0,44,82
0,53,85
0,87,142
0,30,38
0,90,119
0,34,98
0,38,45
0,47,35
0,100,1207
0,65,1188
0,103,1199
0,101,1223
0,67,1112
0,59,1173
0,66,1174
0,104,1178
0,109,1176
0,71,1166
0,50,1100
0,33,1111
0,90,1222
0,107,1216
0,32,1101
0,84,1102
0,101,1191
0,55,1115
0,35,1104
0,96,1214
0,29,1115
0,21,1107
0,79,1116
0,69,1183
0,75,1203
0,79,1159
0,56,1155
0,53,1122
0,91,1219
0,108,1199
0,74,1185
0,71,1211
0,81,1102
0,107,1178
0,114,196
0,133,175
0,96,247
0,75,178
0,141,227
0,151,181
0,155,172
0,172,192
0,148,168
0,128,221
0,192,189
0,146,230
0,160,194
0,185,242
0,128,177
0,191,202
0,150,215
0,176,209
0,154,187
0,91,180
0,184,219
0,44,152
0,80,174
0,104,208
0,192,230
0,190,237
0,172,196
0,93,174
0,192,192
0,178,195
0,188,199
0,133,218
0,102,187
0,94,244
0,185,212
0,99,183
0,137,226
0,165,178
0,169,209
0,147,249
0,40,157
0,130,212
0,56,156
0,173,218
0,34,154
0,148,187
0,78,191
0,194,183
0,89,390
0,152,351
0,172,359
0,61,344
0,75,356
0,109,401
0,82,356
0,72,370
0,72,351
0,111,434
0,84,428
0,68,425
0,63,353
0,103,400
0,52,364
0,115,442
0,97,397
0,80,421
0,66,336
0,129,372
0,135,361
0,131,391
0,104,402
0,161,359
0,125,379
0,90,403
0,118,427
0,139,379
0,126,360
0,113,433
0,124,366
0,82,384
0,63,354
0,114,425
0,104,433
0,85,370
0,101,402
0,100,407
0,127,495
0,130,486
0,71,531
0,91,559
0,150,520
0,62,546
0,106,569
0,102,574
0,53,533
0,133,535
0,51,549
0,62,537
0,108,590
0,145,513
0,126,531
0,91,533
0,126,540
0,164,508
0,96,502
0,144,527
0,117,553
0,78,552
0,102,503
0,72,533
0,85,506
0,119,504
0,91,497
0,113,598
0,63,534
0,115,593
0,119,548
0,90,551
0,128,821
0,145,873
0,143,900
0,130,849
0,135,883
0,143,810
0,179,960
0,139,805
0,144,801
0,71,822
0,134,886
0,172,991
0,92,833
0,177,951
0,137,875
0,168,939
0,123,807
0,168,925
0,149,920
0,126,793
0,167,926
0,112,850
0,118,847
0,130,872
0,99,833
0,148,889
0,122,802
0,132,825
0,160,905
0,63,823
0,111,835
0,118,870
0,170,939
0,146,1333
0,113,1387
0,139,1349
0,158,1336
0,138,1354
0,128,1342
0,116,1359
0,94,1379
0,106,1389
0,115,1346
0,122,1305
0,142,1326
0,139,1348
0,134,1348
0,122,1338
0,137,1340
0,101,1331
0,160,1357
0,130,1356
0,136,1311
0,137,1390
0,109,1354
0,110,1381
0,140,1359
0,136,1391
0,110,1345
0,110,1369
0,117,292
0,191,410
0,166,256
0,119,257
0,173,296
0,191,408
0,170,414
0,194,385
0,207,398
0,152,289
0,124,257
0,171,309
0,202,394
0,182,318
0,195,379
0,202,415
0,185,405
0,100,310
0,211,421
0,121,287
0,217,403
0,180,253
0,207,391
0,173,323
0,147,276
0,194,410
0,172,311
0,248,409
0,190,347
0,113,296
0,124,274
0,190,394
0,205,384
0,192,366
0,214,401
0,185,337
0,223,405
0,192,407
0,199,306
0,214,419
0,196,397
0,166,1240
0,181,1248
0,256,1165
0,191,1168
0,172,1163
0,140,1169
0,180,1268
0,171,1256
0,262,1210
0,224,1137
0,170,1222
0,240,1226
0,226,1217
0,221,1248
0,231,1155
0,229,1194
0,177,1202
0,222,1194
0,262,1216
0,195,1242
0,239,1159
0,173,1223
0,242,1256
0,189,1224
0,220,1303
0,155,1173
0,179,1237
0,269,1146
0,204,1238
0,249,1219
0,254,1231
0,183,1180
0,267,1138
0,210,1301
0,175,1185
0,180,1166
0,156,1232
0,177,1273
0,232,1149
0,152,1193
0,224,1264
0,258,1157
0,248,1138
0,235,1211
0,221,1189
0,261,1123
0,195,1264
0,196,1256
0,227,1171
0,231,1110
0,218,1157
0,197,1201
0,235,1275
0,260,1214
0,247,1233
0,177,1258
0,210,1221
0,262,1159
0,243,1139
0,187,1259
0,226,1262
0,230,1295
0,212,1163
0,230,1125
0,214,1228
0,216,1275
0,236,1271
0,176,1249
0,225,1168
0,191,1211
0,182,1209
0,162,1211
0,187,1159
0,187,1264
0,149,1189
0,159,1231
0,246,1236
0,177,1181
0,139,1161
0,229,1177
0,218,1286
0,248,1172
0,180,1262
0,258,1131
0,239,1247
0,210,1165
0,152,1247
0,178,1163
0,225,1165
0,198,639
0,181,597
0,184,635
0,217,586
0,195,580
0,163,625
0,193,634
0,164,668
0,222,631
0,157,653
0,168,664
0,170,638
0,205,634
0,215,638
0,219,620
0,207,592
0,173,649
0,211,610
0,195,658
0,166,656
0,210,641
0,195,583
0,177,679
0,163,672
0,189,601
0,173,671
0,158,628
0,222,632
0,259,632
0,302,621
0,278,696
0,271,654
0,296,576
0,281,695
0,281,605
0,308,687
0,198,728
0,258,684
0,293,651
0,194,750
0,259,659
0,265,646
0,297,584
0,299,639
0,193,754
0,289,630
0,288,658
0,302,636
0,285,687
0,314,603
0,269,622
0,291,588
0,300,657
0,269,679
0,251,703
0,327,699
0,304,688
0,203,729
0,274,697
0,299,626
0,204,727
0,276,659
0,274,654
0,254,645
0,265,633
0,314,625
0,283,637
0,303,637
0,306,581
0,306,618
0,253,646
0,302,644
0,265,642
0,309,622
0,287,696
0,306,700
0,241,5
0,363,25
0,295,50
0,229,19
0,259,12
0,324,11
0,252,13
0,265,63
0,325,18
0,320,10
0,218,16
0,220,14
0,283,19
0,221,12
0,218,10
0,276,62
0,277,46
0,327,10
0,229,31
0,293,41
0,268,56
0,248,12
0,225,31
0,276,59
0,326,2
0,219,7
0,250,4
0,252,12
0,268,72
0,255,0
0,251,45
0,367,23
0,258,164
0,272,129
0,207,95
0,235,92
0,270,101
0,235,189
0,253,198
0,264,163
0,230,110
0,256,134
0,211,96
0,281,135
0,230,89
0,249,168
0,236,198
0,241,114
0,262,188
0,254,203
0,254,202
0,247,132
0,256,157
0,208,68
0,247,116
0,232,202
0,262,101
0,256,179
0,282,147
0,258,167
0,282,129
0,261,160
0,271,111
0,262,129
0,272,130
0,260,100
0,258,144
0,257,346
0,214,288
0,327,335
0,315,366
0,281,319
0,255,295
0,287,308
0,254,317
0,260,291
0,291,308
0,257,310
0,243,251
0,258,316
0,285,349
0,241,287
0,248,330
0,243,282
0,286,323
0,233,271
0,229,253
0,305,353
0,214,281
0,263,282
0,220,287
0,341,326
0,248,293
0,300,314
0,299,306
0,250,337
0,328,336
0,225,288
0,265,332
0,287,353
0,297,278
0,325,363
0,297,339
0,285,310
0,242,270
0,287,317
0,259,327
0,322,355
0,248,316
0,226,270
0,248,326
0,303,714
0,250,719
0,298,722
0,287,753
0,262,710
0,303,707
0,318,715
0,266,762
0,257,739
0,317,710
0,250,725
0,235,736
0,313,702
0,237,743
0,287,722
0,242,745
0,281,747
0,310,704
0,235,755
0,287,710
0,290,717
0,235,764
0,248,737
0,262,740
0,284,747
0,332,1261
0,329,1294
0,386,1323
0,315,1303
0,292,1358
0,311,1357
0,362,1263
0,324,1357
0,345,1268
0,276,1345
0,357,1282
0,270,1361
0,385,1291
0,330,1260
0,377,1261
0,300,1315
0,282,1372
0,283,1341
0,380,1269
0,361,1264
0,279,1362
0,345,1293
0,274,1353
0,270,1387
0,352,1310
0,372,1264
0,393,1284
0,297,1353
0,346,1245
0,326,1334
0,350,1242
0,359,1286
0,386,1322
0,291,1341
0,320,1337
0,260,1353
0,353,1271
0,315,1298
0,280,1362
0,320,1329
0,299,1303
0,275,1360
0,287,1330
0,264,1328
0,358,1273
0,349,1275
0,243,1388
0,341,1260
0,371,1246
0,272,1340
0,281,1371
0,354,1270
0,416,1311
0,290,1346
0,291,1353
0,347,1275
0,383,1251
0,297,1319
0,406,1312
0,235,1387
0,278,1322
0,303,1011
0,295,977
0,282,983
0,304,996
0,282,974
0,315,1013
0,281,977
0,276,1024
0,283,966
0,309,984
0,275,1011
0,282,984
0,315,973
0,298,1005
0,309,987
0,304,990
0,295,1007
0,283,1006
0,335,969
0,333,983
0,345,1030
0,290,1015
0,320,485
0,337,576
0,266,455
0,297,489
0,336,510
0,325,532
0,341,568
0,337,593
0,347,568
0,317,560
0,288,474
0,312,540
0,351,581
0,332,540
0,300,567
0,308,538
0,324,530
0,328,470
0,307,555
0,271,465
0,326,580
0,324,547
0,275,466
0,339,576
0,316,580
0,294,490
0,426,923
0,409,897
0,373,899
0,381,906
0,393,909
0,332,899
0,398,897
0,399,926
0,411,929
0,391,907
0,390,914
0,402,916
0,423,905
0,253,894
0,420,927
0,326,902
0,431,903
0,361,1115
0,380,1220
0,333,1204
0,287,1145
0,282,1187
0,385,1194
0,319,1119
0,300,1193
0,372,1175
0,398,1226
0,373,1145
0,373,1194
0,412,1222
0,325,1205
0,330,1191
0,334,1197
0,363,1165
0,415,1205
0,323,1138
0,352,1172
0,338,1127
0,375,1168
0,344,1120
0,311,1150
0,342,1199
0,302,1170
0,305,1218
0,337,1142
0,350,1220
0,397,1187
0,394,1216
0,358,1146
0,268,1174
0,382,1181
0,333,1138
0,322,1125
0,381,1215
0,336,1176
0,343,1126
0,286,1154
0,289,1215
0,290,1215
0,366,1201
0,405,1213
0,364,1207
0,362,1140
0,389,1223
0,318,1182
0,401,1193
0,324,1175
0,338,1123
0,381,1157
0,396,1213
0,346,1209
0,378,1172
0,330,1127
0,354,1158
0,300,1159
0,291,1161
0,307,1193
0,389,113
0,337,100
0,353,166
0,345,174
0,321,88
0,302,208
0,341,183
0,326,115
0,332,158
0,334,126
0,304,231
0,281,246
0,332,228
0,327,98
0,328,98
0,297,199
0,310,159
0,358,228
0,369,109
0,350,150
0,315,83
0,317,158
0,364,67
0,375,136
0,344,130
0,388,132
0,396,126
0,329,110
0,326,233
0,343,209
0,354,76
0,343,89
0,279,247
0,316,217
0,397,115
0,310,115
0,300,173
0,362,139
0,301,223
0,336,167
0,374,135
0,353,148
0,313,87
0,318,166
0,358,113
0,310,208
0,366,71
0,350,130
0,335,170
0,328,126
0,336,92
0,322,223
0,367,135
0,297,210
0,289,245
0,295,866
0,373,823
0,355,887
0,384,839
0,327,798
0,373,828
0,301,850
0,351,841
0,352,802
0,342,794
0,310,878
0,388,853
0,329,866
0,330,803
0,322,797
0,384,847
0,356,879
0,358,795
0,357,786
0,354,877
0,377,836
0,333,863
0,349,860
0,333,821
0,318,837
0,297,813
0,302,859
0,307,847
0,343,824
0,376,830
0,334,880
0,323,879
0,324,823
0,340,835
0,365,816
0,371,811
0,323,836
0,369,786
0,368,768
0,375,836
0,329,434
0,337,456
0,417,443
0,361,473
0,375,428
0,392,439
0,385,459
0,387,465
0,375,434
0,385,460
0,343,440
0,396,457
0,352,390
0,358,430
0,361,412
0,336,456
0,372,469
0,417,448
0,416,440
0,311,433
0,360,417
0,338,435
0,351,452
0,338,427
0,348,451
0,354,420
0,376,455
0,360,476
0,448,428
0,365,431
0,315,635
0,334,639
0,331,741
0,366,627
0,320,751
0,363,708
0,362,640
0,349,698
0,353,694
0,365,701
0,354,640
0,324,635
0,377,627
0,320,651
0,375,708
0,373,708
0,368,739
0,384,747
0,382,712
0,318,654
0,376,696
0,329,753
0,317,631
0,331,630
0,331,760
0,349,672
0,374,691
0,363,678
0,352,693
0,339,300
0,354,296
0,332,284
0,392,298
0,364,285
0,366,294
0,336,295
0,383,288
0,380,530
0,389,565
0,394,552
0,390,526
0,378,495
0,350,546
0,363,518
0,389,551
0,386,494
0,401,513
0,392,533
0,382,536
0,422,480
0,349,530
0,387,541
0,402,537
0,360,533
0,403,548
0,343,522
0,410,493
0,370,549
0,364,542
0,386,559
0,420,329
0,409,301
0,423,330
0,382,353
0,382,312
0,480,307
0,478,304
0,428,312
0,443,290
0,458,316
0,456,300
0,440,319
0,470,309
