index,axis-0,axis-1,axis-2
0,2.0,1038.2766515612602,844.4219495952129
1,2.0,1038.3289774358273,1152.5879226624966
2,2.0,1036.688586562872,1055.544765472412
3,2.0,1036.633691906929,1030.198383629322
4,2.0,1037.2854293584824,749.2375277280807
5,2.0,1036.5824756026268,1309.7470100522041
6,2.0,1036.257576674223,848.6845244467258
7,2.0,1035.2769662737846,1364.6846123933792
8,2.0,1034.8549419939518,1141.5395410060883
9,2.0,1034.9633632302284,1125.108916476369
10,2.0,1035.3880533277988,741.3002099692822
11,2.0,1032.6553360819817,1132.6382530629635
12,2.0,1032.756999477744,1077.2816188037395
13,2.0,1033.0249054003507,1035.9764756392688
14,2.0,1032.700648099184,335.9211839437485
15,2.0,1031.907564908266,835.0592829808593
16,2.0,1031.4935005903244,303.35507971048355
17,2.0,1031.454160273075,1290.3434004485607
18,2.0,1031.3213862478733,860.2999813556671
19,2.0,1030.8782513588667,847.2293627262115
20,2.0,1030.7325021922588,743.6593255400658
21,2.0,1030.6051526665688,738.2053396105766
22,2.0,1031.4266046881676,324.5250385403633
23,2.0,1030.6855690181255,298.50188344717026
24,2.0,1029.8320220708847,1029.6210841238499
25,2.0,1030.3055055737495,840.5524722337723
26,2.0,1028.716160029173,1042.3113900125027
27,2.0,1028.2616631686687,1121.2664658427238
28,2.0,1025.586816340685,744.5802403688431
29,2.0,1024.8171369731426,1320.1588120162487
30,2.0,1025.0753180533648,751.1978672146797
31,2.0,1024.0368985123932,392.0538315437734
32,2.0,1022.5030069351196,1367.486521422863
33,2.0,1022.5861212611198,1314.712557286024
34,2.0,1022.2591423094273,1035.6306747198105
35,2.0,1020.7373279035091,1239.1982884258032
36,2.0,1020.5719566941261,805.5279094278812
37,2.0,1020.071548730135,1110.0670784190297
38,2.0,1018.4610312581062,451.3951587677002
39,2.0,1018.5923834443092,309.48686224222183
40,2.0,1014.632983893156,920.5784671008587
41,2.0,1012.8577434271574,1114.1246528178453
42,2.0,1010.7809473723173,323.369996458292
43,2.0,1010.5418996214867,756.4315561652184
44,2.0,1010.1797019392252,388.75457225739956
45,2.0,1010.4567205011845,349.60580310225487
46,2.0,1006.1345235258341,1116.5422801673412
47,2.0,1005.7057794034481,804.4971217513084
48,2.0,1003.5797745883465,771.4146064817905
49,2.0,1002.268514752388,1130.4040737450123
50,2.0,1001.4091537892818,765.503445148468
51,2.0,995.3831769227982,915.4608275592327
52,2.0,993.7361758947372,1095.4266175329685
53,2.0,991.7266807258129,931.8766301870346
54,2.0,992.250421077013,771.1156314238906
55,2.0,991.5387405455112,652.4400995671749
56,2.0,990.0400778464973,1053.048599038273
57,2.0,989.3749978840351,1018.3101944923401
58,2.0,987.5597194433212,1099.5949186980724
59,2.0,988.2284592539072,1088.7569960057735
60,2.0,988.5229460000992,762.5501550734043
61,2.0,986.8493487089872,1213.671498388052
62,2.0,986.8184895068407,328.7883621454239
63,2.0,983.3257131576538,725.3450998961926
64,2.0,981.5766617357731,657.884714230895
65,2.0,980.7755110710859,877.2755190432072
66,2.0,979.4940791130066,981.4354532361031
67,2.0,978.4247393012047,1252.53213134408
68,2.0,977.1508329212666,652.211521551013
69,2.0,975.7268682420254,310.71285274624825
70,2.0,976.4124075472355,147.40130880475044
71,2.0,974.5689903199673,712.3127257823944
72,2.0,973.8825199455023,647.1976521164179
73,2.0,974.431629627943,454.35872972011566
74,2.0,974.1664173156023,447.82708866894245
75,2.0,972.6948276460171,1054.7137761116028
76,2.0,972.6709957122803,767.3113035559654
77,2.0,972.682059109211,659.3131522238255
78,2.0,972.7876868247986,155.3195305764675
79,2.0,969.8727664351463,143.2937130331993
80,2.0,968.5022763311863,905.1781971901655
81,2.0,968.569376707077,889.5235885679722
82,2.0,968.6818816363811,717.3884098231792
83,2.0,967.6889030635357,273.5671333372593
84,2.0,967.1719830930233,1089.136957257986
85,2.0,966.4714332222939,2.0415773056447506
86,2.0,966.0876993685961,949.7600225061178
87,2.0,966.1894162595272,912.5273457467556
88,2.0,964.675849288702,938.5631156861782
89,2.0,964.5898771882057,440.3466698229313
90,2.0,964.3082834780216,144.43970108032227
91,2.0,961.7760221809149,455.31978565454483
92,2.0,960.74784719944,7.347846120595932
93,2.0,958.2348916232586,652.2626661658287
94,2.0,956.7210784554482,932.7061469852924
95,2.0,956.2696066498756,975.3049439191818
96,2.0,954.5580073595047,4.562331140041351
97,2.0,954.291584789753,781.1804152280092
98,2.0,954.4726576507092,619.5254900753498
99,2.0,953.384922683239,459.48619174957275
100,2.0,953.4875426590443,441.9846462709829
101,2.0,951.6509380638599,748.8257510364056
102,2.0,951.9764923788607,469.024165969342
103,2.0,950.6802890002728,1043.3617444634438
104,2.0,950.67927095294,953.4833776950836
105,2.0,949.58293145895,167.65649789571762
106,2.0,948.6560048758984,977.622107386589
107,2.0,948.7241099476814,941.4184626638889
108,2.0,948.7204521000385,760.4300706088543
109,2.0,948.303268045187,458.3993078172207
110,2.0,947.7333698570728,350.57279336452484
111,2.0,946.5681800544262,423.23182225227356
112,2.0,944.9351173862815,968.4068507254124
113,2.0,945.2235931605101,194.67315435409546
114,2.0,945.477747887373,18.787132367491722
115,2.0,943.2751672267914,898.7740734368563
116,2.0,941.6292015016079,156.62736627459526
117,2.0,940.7035984098911,1201.1835565268993
118,2.0,941.2135953009129,1104.4861459732056
119,2.0,941.1583403646946,973.017573395744
120,2.0,941.1191491633654,944.1272069364786
121,2.0,941.056719545275,470.3792016208172
122,2.0,940.7590593546629,40.35390242934227
123,2.0,940.3202864825726,456.58074420690536
124,2.0,938.7046076953411,697.5559788346291
125,2.0,939.3487931787968,184.4506957232952
126,2.0,937.7566857039928,797.6783301830292
127,2.0,936.1523123830557,1170.624409288168
128,2.0,935.8102247864008,1038.3102344870567
129,2.0,935.5999403595924,153.69265195727348
130,2.0,935.2711192965508,755.3386399745941
131,2.0,933.9140741303563,1031.8743548691273
132,2.0,933.3312293589115,614.5550578534603
133,2.0,932.4368034005165,1003.2643867731094
134,2.0,931.7530903071165,371.76834601163864
135,2.0,931.4577545523643,1222.4160661101341
136,2.0,931.4030255079269,1193.4782242178917
137,2.0,931.2246922254562,919.3012967705727
138,2.0,931.1901102215052,788.6549033224583
139,2.0,929.5071441233158,383.7123525440693
140,2.0,928.8157866299152,377.7610836029053
141,2.0,929.3776715993881,35.47119849920273
142,2.0,927.0009459613939,1189.4807327091694
143,2.0,925.1398531794548,920.5220342874527
144,2.0,925.1702736318111,915.18083961308
145,2.0,924.5920527279377,119.53262987732887
146,2.0,924.3660804033279,1031.4858684241772
147,2.0,922.4808401465416,1210.221013262868
148,2.0,923.4455466270447,362.5379324555397
149,2.0,923.3454953432083,108.69740915298462
150,2.0,922.4608529806137,1025.478439539671
151,2.0,921.632697224617,126.50895887613297
152,2.0,920.7943710237741,1202.5253380537033
153,2.0,920.3610106408596,468.3883842229843
154,2.0,919.2853114306927,748.4811744093895
155,2.0,919.4336235821247,245.55205497145653
156,2.0,918.0116391954944,906.0133332470432
157,2.0,918.3028128147125,623.2524345219135
158,2.0,915.7943991422653,653.6322968006134
159,2.0,914.6783326566219,809.3697146773338
160,2.0,915.4366369247437,630.5240659415722
161,2.0,914.0846528559923,890.8467047661543
162,2.0,912.206784337759,619.2761944234371
163,2.0,911.2186499238014,1202.4794286489487
164,2.0,910.6250138282776,1063.5938327908516
165,2.0,909.7530637234449,792.4119435846806
166,2.0,910.0868687033653,418.0687308162451
167,2.0,908.7426060140133,1075.2863924205303
168,2.0,908.5193862915039,409.4955421090126
169,2.0,908.3855450451374,366.51305359601974
170,2.0,906.8638689368963,1067.8811780586839
171,2.0,904.6663366556168,1172.8472938537598
172,2.0,904.7423304617405,1091.8033668547869
173,2.0,903.702384531498,1165.690703511238
174,2.0,900.8798302188516,820.9627798683941
175,2.0,900.1456776410341,829.470496237278
176,2.0,900.2134669423103,629.150648444891
177,2.0,898.5498262345791,457.57417356967926
178,2.0,899.1159301772714,197.77643355727196
179,2.0,897.7021895647049,1166.2936163246632
180,2.0,898.4321244955063,1089.549339234829
181,2.0,896.7975973933935,1171.5737146139145
182,2.0,896.4271585345268,1178.5023893117905
183,2.0,893.3565403223038,1302.4734604358673
184,2.0,893.2803400754929,188.59510004520416
185,2.0,892.0287597440183,1241.7855226695538
186,2.0,892.3038334548473,458.3948139846325
187,2.0,891.3484879136086,1151.3854922652245
188,2.0,891.4009635448456,819.4892387986183
189,2.0,891.398268699646,468.30641931295395
190,2.0,890.755620136857,401.8661978393793
191,2.0,891.2101876586676,176.22618989646435
192,2.0,889.5508424639702,1297.781294927001
193,2.0,888.6421250104904,1247.5147154331207
194,2.0,888.5749770402908,647.5517611503601
195,2.0,889.1068475171924,199.0473824776709
196,2.0,887.5385499596596,1240.2534949183464
197,2.0,887.0489167459309,1054.8745311200619
198,2.0,885.6928533315659,203.7210249900818
199,2.0,884.5463304519653,1322.5484447479248
200,2.0,885.2550977766514,795.5425685048103
201,2.0,885.4272675812244,143.5105604827404
202,2.0,884.4271995723248,641.7130972445011
203,2.0,882.9232330694795,1049.058932557702
204,2.0,882.2273864597082,1312.0485297702253
205,2.0,881.6373457610607,616.786123842001
206,2.0,882.1907089501619,208.73743331432343
207,2.0,880.576200813055,1163.3733809292316
208,2.0,879.3389143645763,215.5827478468418
209,2.0,879.3848785758018,189.21161031723022
210,2.0,877.1690816283226,1044.6554011404514
211,2.0,876.511436611414,1027.2507333755493
212,2.0,874.6882244646549,203.41467013955116
213,2.0,872.4629139304161,1307.373484134674
214,2.0,871.7093661427498,1142.6062901318073
215,2.0,871.5623835623264,1110.2533606886864
216,2.0,870.8005187809467,1023.6610038280487
217,2.0,870.4634578227997,1199.5098676681519
218,2.0,869.7133732438087,1036.1503778398037
219,2.0,869.4650477170944,545.331661105156
220,2.0,869.3318408131599,537.2301425635815
221,2.0,868.3573432266712,634.7617215067148
222,2.0,866.603100836277,1126.6929912567139
223,2.0,867.1286632865667,1027.6669027805328
224,2.0,866.7434981167316,521.3037970364094
225,2.0,867.0730088800192,198.54870772361755
226,2.0,865.111539490521,1189.6337146759033
227,2.0,865.3346310555935,549.3671155273914
228,2.0,863.3884496092796,156.47883319854736
229,2.0,859.2597777843475,542.3600833415985
230,2.0,858.762846365571,475.56018352508545
231,2.0,858.313735306263,1131.432526499033
232,2.0,856.7547942847013,1300.2668933868408
233,2.0,857.3298957645893,1200.4943239688873
234,2.0,855.5834229290485,470.3640506863594
235,2.0,855.198958709836,1193.1896611005068
236,2.0,853.5938977301121,1237.5706743001938
237,2.0,854.2103880792856,1156.3194797337055
238,2.0,854.2757653295994,162.23289899528027
239,2.0,852.6033437848091,466.37485897541046
240,2.0,852.3064794540405,255.65109154582024
241,2.0,852.3740813136101,193.7238471210003
242,2.0,851.4769950211048,1285.7380886375904
243,2.0,850.7083387076855,1172.6559148728848
244,2.0,850.7495994865894,158.20409797132015
245,2.0,850.4489199221134,1314.3838331699371
246,2.0,849.5025075376034,1012.5190380215645
247,2.0,848.3270412385464,1139.5255089998245
248,2.0,848.2608022689819,474.46321696043015
249,2.0,845.7393836677074,1298.7114996314049
250,2.0,845.5636901855469,248.4879915714264
251,2.0,845.5008123517036,1122.2064047008753
252,2.0,842.7695131003857,475.8227972686291
253,2.0,842.458839148283,1374.3362185060978
254,2.0,841.446240901947,124.50143924355507
255,2.0,839.0710152164102,1325.8471461236477
256,2.0,838.5559584200382,1292.2345006167889
257,2.0,839.2380048930645,1232.4915514588356
258,2.0,836.5869804620743,1359.4159373641014
259,2.0,833.3072390854359,1349.2661706507206
260,2.0,832.5608357787132,539.5495010018349
261,2.0,829.528881072998,438.4419384598732
262,2.0,828.6130177974701,393.53691640496254
263,2.0,827.2344659417868,452.67709904909134
264,2.0,825.326822578907,1364.443449407816
265,2.0,823.486939817667,1349.3496270775795
266,2.0,823.5150151848793,349.22820226848125
267,2.0,815.7737930715084,1364.4872767329216
268,2.0,814.3989435136318,160.51469790935516
269,2.0,810.2681421935558,1371.8881978318095
270,2.0,809.2478418052197,208.71238112449646
271,2.0,808.2210926711559,1389.887525677681
272,2.0,808.0930246338248,327.4999741613865
273,2.0,808.3137003779411,296.61797827482224
274,2.0,806.5033331513405,1325.482862830162
275,2.0,805.6153973340988,1373.4726059436798
276,2.0,798.2807469964027,553.322503477335
277,2.0,788.744391053915,274.85179603099823
278,2.0,789.0928145870566,255.84271551668644
279,2.0,786.0828393697739,1241.4546489417553
280,2.0,783.6220855414867,163.57208558917046
281,2.0,783.1142333298922,1278.4050518870354
282,2.0,780.4030574858189,245.41820994019508
283,2.0,780.4427500367165,240.39896994829178
284,2.0,779.7615799307823,170.37579482793808
285,2.0,778.568844050169,1348.4876740574837
286,2.0,779.3333815932274,890.4753823876381
287,2.0,778.3718771934509,261.2886409461498
288,2.0,774.7442304193974,1343.3746123611927
289,2.0,775.4256837964058,1313.7690034508705
290,2.0,774.4129945635796,1305.480157673359
291,2.0,768.39702886343,167.32539203763008
292,2.0,767.0326776355505,1304.9203644320369
293,2.0,766.8360071182251,1223.6033048927784
294,2.0,766.2980479598045,153.10854249447584
295,2.0,760.2811820805073,1281.9759974516928
296,2.0,759.3569971621037,1203.5044747591019
297,2.0,759.1398162990808,955.8525159358978
298,2.0,756.1280388981104,1312.089084789157
299,2.0,752.4925629794598,1327.3545388281345
300,2.0,750.6872695982456,1245.7835165262222
301,2.0,750.4739680886269,155.21661783754826
302,2.0,748.6579114198685,1238.3506556153297
303,2.0,735.1729711294174,884.8827066868544
304,2.0,731.7008096575737,216.64623746275902
305,2.0,729.6364051103592,1336.3966521322727
306,2.0,729.7813937067986,1246.5677140057087
307,2.0,729.0493510439992,1324.7598174363375
308,2.0,725.784758374095,1347.6495393812656
309,2.0,725.6699876785278,207.4294802248478
310,2.0,725.506551861763,221.28499162197113
311,2.0,724.0808202177286,1276.8336730748415
312,2.0,723.6686372160912,316.7952850610018
313,2.0,722.5652113556862,682.622751057148
314,2.0,719.7868657261133,690.6742060184479
315,2.0,719.4102160036564,676.6007930934429
316,2.0,718.1688027381897,1333.1603033393621
317,2.0,717.495443046093,1056.6666783690453
318,2.0,718.4327886104584,224.38863402605057
319,2.0,718.1776762604713,211.51090294122696
320,2.0,716.8284384459257,1036.4069282114506
321,2.0,716.3688457012177,894.5060512423515
322,2.0,714.6896211206913,1264.739845663309
323,2.0,713.8648177087307,877.2131761461496
324,2.0,713.0481644272804,1060.2881117761135
325,2.0,711.4887346029282,1065.3340241909027
326,2.0,712.1706689447165,1053.5158804655075
327,2.0,711.0080830156803,1281.8064174205065
328,2.0,709.6164582371712,1172.6596491336823
329,2.0,710.1173063963652,1075.7149839401245
330,2.0,710.3983409106731,868.9447800703347
331,2.0,710.2060942947865,855.6090974509716
332,2.0,709.5518582761288,841.6641426384449
333,2.0,709.9099232405424,346.2864265739918
334,2.0,705.5748380720615,1056.2147054970264
335,2.0,705.2358556985855,847.1949006617069
336,2.0,703.715576261282,887.5506421923637
337,2.0,701.5063056349754,829.3560025990009
338,2.0,699.7841729223728,1065.7330185472965
339,2.0,699.8200628757477,700.3371516168118
340,2.0,698.9906987780705,1358.0481174252927
341,2.0,698.5781390964985,1174.473169118166
342,2.0,699.5817955732346,1055.3164090812206
343,2.0,698.8586323410273,1041.7983786165714
344,2.0,698.5772133171558,887.6487911343575
345,2.0,697.1841617077589,1078.1350378245115
346,2.0,694.3051514327526,1329.1889339536428
347,2.0,694.3846743702888,339.4446330964565
348,2.0,692.6517090499401,1172.2976658344269
349,2.0,693.386285841465,365.4760647714138
350,2.0,692.0265267100185,1338.9979981684592
351,2.0,690.5496492981911,1374.2409348487854
352,2.0,691.5331951975822,1360.667111247778
353,2.0,691.3220687508583,1353.5064823031425
354,2.0,691.3364897072315,302.46808353066444
355,2.0,690.5603471398354,287.4818663597107
356,2.0,688.5341519713402,683.3519044816494
357,2.0,687.2539031505585,886.150309547782
358,2.0,682.6862030923367,1170.8262767344713
359,2.0,683.018004655838,327.93398356437683
360,2.0,682.4404477477074,691.4153288006783
