index,axis-0,axis-1
0,241.98516704514623,222.9644610248506
1,239.93857776001096,141.93971655145288
2,236.99077050294727,192.0174189656973
3,236.89858663082123,28.95725652202964
4,229.03037903271616,215.00211926782504
5,220.08967962116003,204.8799756988883
6,207.99601146485656,51.99193904455751
7,206.01122114993632,240.00659697921947
8,205.0846182256937,168.02523626200855
9,202.00292832194827,154.9965500801336
10,201.01871580258012,18.932009249925613
11,191.99709655856714,240.9658699221909
12,191.99185545369983,80.03568288311362
13,191.0004207965685,112.96697937697172
14,188.00088090042118,138.998428156483
15,173.10667691379786,24.039979431778193
16,171.00834054499865,58.00013498785847
17,169.0232058428228,224.99733058386482
18,158.94221276789904,141.96063870564103
19,157.89327102154493,53.92463108152151
20,151.20706754922867,200.50676786899567
21,150.03671823441982,197.050460267812
22,147.9762997366488,8.973205674439669
23,140.9517783522606,76.91205437481403
24,135.98721547517926,35.99376389151439
25,133.99474298022687,202.98994805756956
26,129.9997939638415,114.97846005856991
27,129.95497553795576,33.82897201180458
28,121.99663499556482,138.97932827100158
29,121.9795436244458,56.9931331910193
30,119.98947513196617,104.99629250960425
31,119.01385884080082,236.99225712334737
32,110.97576330974698,69.95894058793783
33,98.9978727963753,218.98986388742924
34,98.97556579485536,152.9856252176687
35,77.0076797134243,23.003632850712165
36,69.95155373215675,153.94752901047468
37,67.9757801797241,20.978858986869454
38,67.03832951188087,196.9694323502481
39,54.01275790575892,119.00534404115751
40,37.00808937288821,238.99943775014253
41,35.98530114069581,178.00983576383442
42,35.0037534320727,167.977891523391
43,34.02162781357765,69.01423553097993
44,28.95307370275259,116.9916106890887
45,24.99110230524093,156.0100363343954
46,19.005462958011776,238.9532769471407
47,17.983206102624536,99.99572504591197
48,14.012329638004303,224.00534829031676
49,8.99613566393964,76.00256411544979
